,age,games,games_starts,minutes,cards_yellow,cards_red,minutes_90s,goals,shots,shots_free_kicks,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_short,passes_medium,passes_long,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,tackles,tackles_won,dribble_tackles,dribbled_past,blocks,interceptions,clearances,errors,touches,touches_live_ball,dribbles,miscontrols,dispossessed,passes_received,fouls,fouled,ball_recoveries,aerials_won,aerials_lost,n_injuries,n_severe_injuries,currently_injured,position_DF,position_FW,position_GK,position_MF
1681,26.473972602739725,4.0,4.0,360.0,2.0,0.0,4.0,0.0,0.0,0.0,184.0,211.0,3043.0,1232.0,97.0,91.0,19.0,204.0,6.0,5.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,5.0,13.0,0.0,246.0,246.0,1.0,8.0,0.0,182.0,5.0,6.0,14.0,6.0,4.0,8,0,0,1,0,0,0
1682,20.46849315068493,10.0,8.0,640.0,0.0,1.0,7.1,0.0,3.0,0.0,320.0,353.0,5584.0,1859.0,131.0,182.0,31.0,341.0,11.0,9.0,0.0,0.0,0.0,0.0,10.0,9.0,6.0,0.0,6.0,8.0,18.0,0.0,405.0,405.0,4.0,1.0,1.0,294.0,3.0,6.0,32.0,10.0,4.0,6,0,0,1,0,0,0
1683,27.980821917808218,7.0,6.0,423.0,1.0,0.0,4.7,1.0,5.0,0.0,240.0,258.0,4553.0,1440.0,79.0,147.0,27.0,254.0,4.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,9.0,0.0,289.0,289.0,0.0,2.0,1.0,231.0,10.0,0.0,20.0,9.0,4.0,15,0,0,1,0,0,0
1684,29.945205479452056,13.0,7.0,753.0,4.0,0.0,8.4,0.0,4.0,1.0,310.0,421.0,4958.0,1817.0,187.0,139.0,72.0,332.0,87.0,18.0,1.0,2.0,56.0,14.0,9.0,5.0,7.0,5.0,6.0,7.0,9.0,0.0,477.0,477.0,14.0,5.0,0.0,271.0,14.0,8.0,38.0,12.0,8.0,9,0,0,1,0,0,0
1685,31.076712328767123,10.0,7.0,551.0,4.0,1.0,6.1,0.0,9.0,1.0,279.0,393.0,5497.0,2291.0,151.0,121.0,100.0,305.0,87.0,20.0,0.0,8.0,55.0,16.0,19.0,10.0,9.0,5.0,7.0,11.0,7.0,0.0,448.0,448.0,12.0,9.0,3.0,256.0,14.0,8.0,51.0,10.0,6.0,8,0,0,1,0,0,0
1686,25.898630136986302,8.0,8.0,585.0,3.0,1.0,6.5,0.0,2.0,0.0,271.0,349.0,4060.0,1605.0,156.0,139.0,33.0,303.0,46.0,3.0,2.0,2.0,22.0,0.0,8.0,3.0,6.0,3.0,9.0,7.0,8.0,0.0,407.0,407.0,11.0,9.0,6.0,242.0,10.0,5.0,35.0,5.0,5.0,9,0,0,1,0,0,0
1687,37.010958904109586,11.0,6.0,626.0,3.0,0.0,7.0,0.0,5.0,0.0,352.0,455.0,6386.0,1673.0,189.0,156.0,75.0,393.0,59.0,11.0,0.0,7.0,40.0,0.0,7.0,4.0,3.0,7.0,6.0,3.0,12.0,0.0,502.0,502.0,8.0,10.0,2.0,358.0,1.0,14.0,37.0,4.0,5.0,11,1,0,1,1,0,0
1688,31.024657534246575,12.0,12.0,1035.0,4.0,0.0,11.5,2.0,18.0,1.0,489.0,533.0,8600.0,2582.0,223.0,251.0,47.0,512.0,20.0,17.0,0.0,2.0,0.0,0.0,14.0,10.0,6.0,4.0,15.0,10.0,44.0,0.0,656.0,656.0,0.0,10.0,0.0,445.0,9.0,11.0,32.0,16.0,7.0,5,1,0,1,0,0,1
1689,32.46027397260274,13.0,13.0,1170.0,1.0,0.0,13.0,0.0,0.0,0.0,341.0,474.0,9639.0,6729.0,46.0,192.0,233.0,308.0,165.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,520.0,520.0,0.0,0.0,0.0,202.0,0.0,3.0,15.0,0.0,0.0,15,1,0,0,0,1,0
1690,28.389041095890413,10.0,9.0,684.0,2.0,0.0,7.6,0.0,6.0,2.0,373.0,435.0,6204.0,1668.0,208.0,161.0,48.0,411.0,19.0,17.0,2.0,7.0,1.0,1.0,11.0,7.0,5.0,8.0,8.0,5.0,5.0,0.0,480.0,480.0,4.0,5.0,3.0,348.0,15.0,4.0,47.0,5.0,5.0,2,0,0,1,0,0,1
